"['Dallas/Fort Worth, TX', 'Little Rock, AR', 'Dallas/Fort Worth, TX']",952
"['Dallas/Fort Worth, TX', 'Atlanta, GA (Metropolitan Area)', 'Portland, ME', 'Dallas/Fort Worth, TX']",7260
"['Dallas/Fort Worth, TX', 'Lubbock, TX', 'Dallas/Fort Worth, TX']",942
"['Dallas/Fort Worth, TX', 'Panama City, FL', 'Dallas/Fort Worth, TX']",2194
"['Dallas/Fort Worth, TX', 'Columbus, OH', 'Dallas/Fort Worth, TX']",2954
"['Dallas/Fort Worth, TX', 'Austin, TX', 'Dallas/Fort Worth, TX']",608
"['Dallas/Fort Worth, TX', 'Houston, TX', 'Harlingen/San Benito, TX', 'Dallas/Fort Worth, TX']",1564
"['Dallas/Fort Worth, TX', 'New Orleans, LA', 'Dallas/Fort Worth, TX']",1402
"['Dallas/Fort Worth, TX', 'Midland/Odessa, TX', 'Dallas/Fort Worth, TX']",1024
"['Dallas/Fort Worth, TX', 'Amarillo, TX', 'Dallas/Fort Worth, TX']",1038
"['Dallas/Fort Worth, TX', 'Pensacola, FL', 'Dallas/Fort Worth, TX']",1902
"['Dallas/Fort Worth, TX', 'Albany, NY', 'Dallas/Fort Worth, TX']",4588
"['Dallas/Fort Worth, TX', 'Greenville/Spartanburg, SC', 'Cincinnati, OH', 'Dallas/Fort Worth, TX']",3171
"['Dallas/Fort Worth, TX', 'Rochester, NY', 'Dallas/Fort Worth, TX']",4048
"['Dallas/Fort Worth, TX', 'Louisville, KY', 'St. Louis, MO', 'Dallas/Fort Worth, TX']",2438
"['Dallas/Fort Worth, TX', 'Buffalo, NY', 'Dallas/Fort Worth, TX']",3878
"['Dallas/Fort Worth, TX', 'Salt Lake City, UT', 'Dallas/Fort Worth, TX']",3212
"['Dallas/Fort Worth, TX', 'Albuquerque, NM', 'Omaha, NE', 'Dallas/Fort Worth, TX']",3041
"['Dallas/Fort Worth, TX', 'Indianapolis, IN', 'Dallas/Fort Worth, TX']",2428
"['Dallas/Fort Worth, TX', 'Philadelphia, PA', 'Dallas/Fort Worth, TX']",4160
"['Dallas/Fort Worth, TX', 'West Palm Beach/Palm Beach, FL', 'Dallas/Fort Worth, TX']",3506
"['Dallas/Fort Worth, TX', 'Hartford, CT', 'Dallas/Fort Worth, TX']",4702
"['Dallas/Fort Worth, TX', 'Detroit, MI', 'Chicago, IL', 'Dallas/Fort Worth, TX']",3239
"['Dallas/Fort Worth, TX', 'Cleveland, OH (Metropolitan Area)', 'Dallas/Fort Worth, TX']",3262
"['Dallas/Fort Worth, TX', 'Milwaukee, WI', 'Dallas/Fort Worth, TX']",2736
"['Dallas/Fort Worth, TX', 'Charleston, SC', 'Nashville, TN', 'Dallas/Fort Worth, TX']",3273
"['Dallas/Fort Worth, TX', 'New York City, NY (Metropolitan Area)', 'Dallas/Fort Worth, TX']",4444
"['Dallas/Fort Worth, TX', 'Boston, MA (Metropolitan Area)', 'Dallas/Fort Worth, TX']",4994
"['Dallas/Fort Worth, TX', 'Seattle, WA', 'Dallas/Fort Worth, TX']",5368
"['Dallas/Fort Worth, TX', 'Los Angeles, CA (Metropolitan Area)', 'Tulsa, OK', 'Dallas/Fort Worth, TX']",4443
"['Dallas/Fort Worth, TX', 'San Francisco, CA (Metropolitan Area)', 'Dallas/Fort Worth, TX']",4740
"['Dallas/Fort Worth, TX', 'Spokane, WA', 'Denver, CO', 'Dallas/Fort Worth, TX']",4779
"['Dallas/Fort Worth, TX', 'Sacramento, CA', 'Dallas/Fort Worth, TX']",4632
"['Dallas/Fort Worth, TX', 'Boise, ID', 'Dallas/Fort Worth, TX']",4122
"['Dallas/Fort Worth, TX', 'San Diego, CA', 'Dallas/Fort Worth, TX']",3796
"['Dallas/Fort Worth, TX', 'Reno, NV', 'Las Vegas, NV', 'Dallas/Fort Worth, TX']",4446
"['Dallas/Fort Worth, TX', 'Portland, OR', 'Dallas/Fort Worth, TX']",5226
"['Dallas/Fort Worth, TX', 'Tucson, AZ', 'Dallas/Fort Worth, TX']",2646
"['Dallas/Fort Worth, TX', 'El Paso, TX', 'San Antonio, TX', 'Dallas/Fort Worth, TX']",2098
"['Dallas/Fort Worth, TX', 'Phoenix, AZ', 'Wichita, KS', 'Dallas/Fort Worth, TX']",3345
"['Dallas/Fort Worth, TX', 'Corpus Christi, TX', 'Richmond, VA', 'Dallas/Fort Worth, TX']",4582
"['Dallas/Fort Worth, TX', 'Washington, DC (Metropolitan Area)', 'Norfolk, VA (Metropolitan Area)', 'Dallas/Fort Worth, TX']",4054
"['Dallas/Fort Worth, TX', 'Des Moines, IA', 'Dallas/Fort Worth, TX']",2012
"['Dallas/Fort Worth, TX', 'Pittsburgh, PA', 'Dallas/Fort Worth, TX']",3408
"['Dallas/Fort Worth, TX', 'Memphis, TN', 'Charlotte, NC', 'Dallas/Fort Worth, TX']",2987
"['Dallas/Fort Worth, TX', 'Orlando, FL', 'Dallas/Fort Worth, TX']",3128
"['Dallas/Fort Worth, TX', 'Oklahoma City, OK', 'Jacksonville, FL', 'Dallas/Fort Worth, TX']",3327
"['Dallas/Fort Worth, TX', 'Miami, FL (Metropolitan Area)', 'Dallas/Fort Worth, TX']",3566
"['Dallas/Fort Worth, TX', 'Raleigh/Durham, NC', 'Dallas/Fort Worth, TX']",3388
"['Dallas/Fort Worth, TX', 'Tampa, FL (Metropolitan Area)', 'Birmingham, AL', 'Dallas/Fort Worth, TX']",3156
"['Dallas/Fort Worth, TX', 'Fort Myers, FL', 'Dallas/Fort Worth, TX']",3232
